Prompt,Response
"A bad name for a brand of bottled water"",","""Aquafina-ly Disappointing."""
"How do you like it?"",","Like a box of raccoons fighting over a single shiny button – chaotic, messy, and ultimately disappointing."
"Come up with a new dessert that contains the name of a U.S. state"",","My new dessert is ""Idaho-ho's,""  a potato-based mousse with marshmallow fluff and a surprising hint of maple syrup."
"The first and second rules of Fight Club are \u201cDon't talk about Fight Club,\u201d but what's the 387th rule of Fight Club?"",","Rule 387 of Fight Club is: Don't even *think* about Fight Club, especially if you're wearing Crocs."
"A terrible food truck would be one that goes around selling only _________"",","A terrible food truck would be one that goes around selling only sadness and disappointment, served on a bed of lukewarm regret."
"A reason to get into a fist fight with a koala bear "",",He stole my eucalyptus-flavored lip balm.
"Little-known fact: the fourth Wise Man gave baby Jesus the worst gift of all: _________ "",","Little-known fact: the fourth Wise Man gave baby Jesus the worst gift of all: a lifetime supply of really, really bad puns."
"A theme for a desk calendar that wouldn't sell very well "",","""Reasons My Cat Is Judging Me."""
"The worst thing you could stick in a toaster "",",A confused badger.
"The worst Halloween costume for a young child"",","A diaper, because then you're just a baby who pooped their pants, not a clever costume."
"\u201cThis just in! A _________ has won the election and will become the new governor of Texas.\u201d "",",This just in! A sentient tumbleweed has won the election and will become the new governor of Texas.
"A better name for the human bladder"",","The Willy Wonka-esque ""Whipple-Scrumptious Overflow Reservoir."""
"Surprising first words for your baby to speak"",","""Taxes are due April 15th."""
"A good name for a dog country singer"",",Howl Hound Holiday.
"A lawn decoration sure to make the neighbors mad"",","A giant inflatable T-Rex wearing a tiny, ill-fitting tutu and a ""Keep Off My Lawn!"" sign."
"The worst thing to say when trying to adopt a pet"",","""I'm only adopting it so I have someone to blame when my life inevitably falls apart."""
"Fun thing to do if locked in the mall overnight"",",Have a midnight fashion show using mannequins as your runway models; bonus points for interpretive dance.
"The worst person to receive a sponge bath from"",","My grandpappy, who insists on using only his prize-winning chili as a lubricant."
"People wouldn't respect He-Man as much if, to gain his power, he held up his sword and shouted \u201c____________________\u201d"",","People wouldn't respect He-Man as much if, to gain his power, he held up his sword and shouted ""By the power of Grayskull... and a really strong laxative!"""
"Pants would be a whole lot better if they _________"",","Pants would be a whole lot better if they came with a built-in self-cleaning function, like a tiny Roomba for your crotch."
"A little-known way to get gum out of your hair"",",Shave your head.  Problem solved.
"The most awesome Guinness World Record to break"",",World's fastest eater of lukewarm oatmeal.
"It's bad to be buried alive. It's worse to be buried alive with _________."",","It's worse to be buried alive with a mime who only does ""The Box"" routine."
"Something that would not work as well as skis"",",A pair of really enthusiastic hamsters.
"What to say to get out of jury duty"",","""My goldfish needs me, and I'm pretty sure he's plotting world domination – he keeps staring at the globe."""
"A rejected name for a ship in the U.S. Naval Fleet: the USS _________"",","USS  ""Buttercup."""
"A rejected title for <i>The Good, The Bad and the Ugly</i> was <i>The Good, the Bad and the _________</i>"",","The Good, the Bad and the Slightly-Less-Ugly."
"Little-known fact: The government allows peanut butter to contain up to 10% _________"",",Little-known fact: The government allows peanut butter to contain up to 10% government secrets.
"A good sign that your house is haunted"",",A good sign that your house is haunted is when your dog starts barking at a spot where *only I can see dust bunnies doing the tango*.
"A bad occupation for a robot to have"",",Therapist –  imagine trying to explain your feelings to a metal box with no empathy whatsoever.
"A sequel to the painting \u201cDogs Playing Poker\u201d"",","""Dogs Playing Poker 2: Electric Boogaloo"" – this time, it's a high-stakes game of Texas Hold'em, and the pot is a giant, slobbery chew toy."
"The Tooth Fairy's other job"",",She's a freelance dental hygienist for toddlers who scream too much.
"Little-known fact: A secret area in the White House is the _________ room"",","Little-known fact: A secret area in the White House is the ""Presidential Pancake-Making and Existential Dread"" room."
"An invention by Thomas Edison that never caught on"",",A self-stirring soup spoon that also judged your cooking skills and insulted you.
"A birthday present you shouldn't get for your grandmother"",",A lifetime supply of prune juice enemas.
"What time is it?"",","Time for a nap, clearly."
"Invent a Christmas tradition sure to catch on"",","""Secret Santa, but everyone gets a ridiculously oversized, novelty sweater that they have to wear for the entire day."""
"A short motto everyone should live by"",","""Procrastinate now, regret later — but mostly, regret later."""
"The best way to start your day"",",With a triple-shot espresso and a solid five minutes of aggressively ignoring my responsibilities.
"A good improvement to make to Mt. Rushmore"",","Add a giant, inflatable T-Rex behind it."
"The worst name for a summer camp"",",Camp Diarrhea.
"The first commandment in the new religion you started"",","Thou shalt not wear socks with sandals, for that is a crime against fashion and possibly humanity itself."
"Three things are certain in life: Death, Taxes, and _________"",","Three things are certain in life: Death, Taxes, and the overwhelming urge to check your phone one more time before bed, even though you know you'll regret it."
"A faster way to get home from the Land of Oz is to click your heels three times and say _________."",","""And hope to heck Dorothy wasn't hogging the ruby slippers again."""
"Something that's made worse by adding cheese"",",My dating life.
"Which new marshmallow should Lucky Charms cereal introduce?"",","""Marshmallow-flavored marshmallows, because why not?"""
"The perfect song to hum on the toilet"",","""Baby Shark,"" obviously.  It's short, repetitive, and you can't help but sing along, even if you're trying to be quiet."
"A word that should never follow \u201cBeef\u201d"",","""Stuffed,"" unless you're aiming for a truly *explosive* culinary experience."
"Something that is currently legal that should be banned"",",Crocs.  They're a menace to fashion everywhere.
"Come up with a name for a rock band made up entirely of baby ducks"",",The Fluff & Feathers.
"We can all agree that _________"",","We can all agree that squirrels are secretly plotting world domination, one buried acorn at a time."
"Something you shouldn't buy off of Craigslist"",",A used toupee.
"A bad thing to say to a cop as he writes you a speeding ticket"",","""Oh, I thought this was a 'guess how fast I was going' contest!"""
"How far is too far?"",",Only as far as you can walk back before your shoes start complaining.
"If at first you don't succeed..."",","...skydive again, but this time with a parachute."
"The name you would give to a really mopey pig"",",Humphrey the Unmotivated.
"What robots dream about"",","Electric sheep, obviously."
"What really happened to Amelia Earhart"",",She ran out of gas... and then got abducted by aliens who needed a really good pilot for their intergalactic beer pong team.
"Something you'd be surprised to see come out of a pimple you pop"",","A tiny, fully-formed miniature of myself, demanding royalties."
"Today's music needs more _________"",",Today's music needs more musical saw solos.
"Finish this sentence: \u201cWhen I'm rich, my mansion will have a room called The _________ Room.\u201d"",","When I'm rich, my mansion will have a room called The ""I Regret Nothing"" Room."
"The best question to ask God when you meet him"",","""So, about that whole 'free will' thing...  were you *actually* kidding?"""
"A fun trick to play on your doctor"",",Replace his stethoscope with a giant rubber chicken.
"A bad place for your rocket ship to crash would be The Planet of the _________"",","A bad place for your rocket ship to crash would be The Planet of the  ""Eternally-Grumpy, Sock-Wearing Garden Gnomes."""
"A bad campaign slogan for a congressperson"",","""Vote for me, I promise to make things *slightly* less terrible."""
"A unique way to escape from prison"",","I'd convince the warden I'd written a tell-all memoir, offering him a hefty percentage of the profits if he let me leave to promote it on a book tour...and then never return."
"The next product for Matthew McConaughey to endorse"",","Depends on the brand, but I'm picturing him in a Lincoln commercial whispering, ""Just keep livin', ...and buy this car."""
"The title of a new YouTube cat video that's sure to go viral"",","""Cat Tries to Solve a Rubik's Cube While Wearing a Tiny Top Hat: Fails Spectacularly."""
"Come up with the name of a country that doesn't exist"",",The Republic of Very Slightly Above Average.
"The best way to keep warm on a cold winter night"",","Is to hug a really, really large, very hairy dog...preferably one that's also secretly a furnace."
"The real reason the dinosaurs died"",","A rogue meteor wasn't big enough; they all choked on a giant, prehistoric pizza the size of Texas."
"Something you should never put on an open wound"",",Your grandma's questionable meatloaf.
"Scientists say erosion, but we all know the Grand Canyon was actually made by _________"",","...a really, really angry badger with a tiny shovel and a whole lotta time on its paws."
"The name of a font nobody would ever use"",","""Comic Sans MS... but it's only available in size 2."""
"The best thing about going to prison"",",The best thing about going to prison is that you finally get a break from your annoying relatives.
"The best title for a new national anthem for the USA"",","""My Country 'Tis of Thee (But Mostly About Bacon)."""
"A college major you don't see at many universities"",",Bachelor of Science in Professional Nap Taking.
"What would make baseball more entertaining to watch?"",","Synchronized swimming between innings, obviously."
"A little-known fact about Canada"",","Canada's national animal, the beaver, is legally required to wear tiny hats during Parliament sessions."
"Name a TV drama that's about a vampire doctor"",","""ER... but with way more blood, and less paperwork."""
"A name for a brand of designer adult diapers"",","""Granny's Got Her Groove Back."""
"What's actually causing global warming?"",",My cat's excessive use of the hair dryer.
"The first thing you would do after winning the lottery"",","Buy a solid gold toilet, naturally."
"A name for a really bad Broadway musical"",","""Cats: The Revenge"""
"On your wedding night, it would be horrible to find out that the person you married is _________"",","On your wedding night, it would be horrible to find out that the person you married is... a competitive thumb wrestler who takes it *very* seriously."
"The Skittles flavor that just missed the cut"",","""Purple... but it tasted suspiciously like sadness and regret."""
"What FDR meant to say was \u201cWe have nothing to fear, but _________\u201d"",","What FDR meant to say was ""We have nothing to fear, but **ferrets in tiny hats wielding tiny tasers**""."
"A terrible name for a cruise ship"",","The ""SS Sea Sickness""."
"What's the Mona Lisa smiling about?"",",Probably the fact that she doesn't have to pay taxes.
"The crime you would commit if you could get away with it"",","Stealing all the world's comfy socks – for research purposes, of course."
"Something squirrels probably do when no one is looking"",","They probably host tiny, chaotic rave parties with acorns as confetti."
"Something you shouldn't get your significant other for Valentine's Day"",","A slightly used, slightly smelly, slightly haunted porcelain doll."
"A dangerous thing to do while driving"",",Applying lipstick while simultaneously attempting a complicated three-point turn in a clown car.
"The best thing about living in an igloo"",",The best thing about living in an igloo is that you can say you're living the high life... literally!
"Using only two words, a new state motto for Texas"",",Don't mess with.
"The hardest thing about being Batman"",",The hardest thing about being Batman is explaining to the insurance company how the Batmobile keeps getting totaled.
"Something you shouldn't wear to a job interview"",","A clown costume, unless you're applying to be a clown."
"The #1 reason penguins can't fly"",",Their flight plans were all booked solid by the airline's frequent flyer penguins.
"The name of the reindeer Santa didn't pick to pull his sleigh"",","Steve, because he kept trying to unionize the other reindeer."
"What's the first thing you would do if you could time travel?"",","Rob a bank, obviously.  Then I'd go back and warn myself not to do it, creating a delicious paradox of self-preservation and mild larceny."
"What would you do if you were left alone in the White House for an hour?"",",I'd probably try to convince the portraits they're in a really immersive escape room.
"Come up with the name of book that would sell a million copies, immediately"",","""My Cat Wrote This Bestseller (And Demands Tuna)."""
"A not-very-scary name for a pirate"",",Barnacle Bart.
"The name of a pizza place you should never order from"",","""Luigi's House of Regrettable Toppings."""
"A Starbucks coffee that should never exist"",","A Starbucks coffee called ""Depresso Espresso,"" served lukewarm in a chipped mug with a side of existential dread."
"There's Gryffindor, Ravenclaw, Slytherin, and Hufflepuff, but what's the Hogwarts house few have ever heard of?"",","Oh, that's totally the House of  ""People Who Accidentally Set the Whomping Willow on Fire."""
"Something you should never use as a scarf"",",A venomous snake.
"The worst words to say for the opening of a eulogy at a funeral"",","""Well, butter my butt and call me a biscuit, I didn't expect *this* much turnout!"""
"Come up with a really bad TV show that starts with \u201cBaby\u201d"",","""Baby Therapists: Where the screaming never stops, and neither do the bills for tiny, overpriced therapy toys."""
"A great way to kill time at work"",","Stare intensely at the person next to you until they ask what's wrong, then say, ""Oh, nothing. Just admiring your excellent stapler skills."""
"What's wrong with these kids today?"",",They're addicted to TikTok dances that haven't even been invented yet.
"Why does the Tower of Pisa lean?"",",Because it had too much pizza for lunch.
"A great new invention that starts with \u201cAutomatic\u201d"",",Automatic cat-hair remover that also judges your life choices.
"Come up with a really bad football penalty that begins with \u201cIntentional\u201d"",",Intentional grounding of the opposing team's mascot while simultaneously attempting a celebratory interpretive dance.
"You know you're in for a bad taxi ride when _________"",","You know you're in for a bad taxi ride when the driver starts singing opera and the only lyrics you recognize are from ""The Sound of Music,"" but in a terrifying death metal voice."
"The terrible fate of the snowman Olaf in a director's cut of <i>Frozen</i>"",","Olaf got accidentally shipped to the Sahara Desert as part of a ""surprise tropical vacation""  Elsa planned, only to melt into a puddle that became a surprisingly effective sunblock for a very confused camel."
"Sometimes, after a long day, you just need to _________"",","Sometimes, after a long day, you just need to  staple your eyelids together and hope for the best."
"The worst way to spell Mississippi"",",M-i-s-s-i-s-s-i-p-p-i  ... but with a really bad stutter.
"Give me one good reason why I shouldn't spank you right now"",","Because my therapist says I need to work on my boundaries, and apparently, that includes avoiding physical altercations with people who ask me to spank them."
"The best pick-up line for an elderly singles mixer"",","""Do you believe in love at first sight, or should I walk by again?"""
"The best news you could get today"",","Free pizza for everyone, including me, and it's all gluten-free!"
"Invent a holiday that you think everyone would enjoy"",","National Nap-In-The-Park Day, where we all collectively ignore our responsibilities and take a glorious, guilt-free nap surrounded by squirrels judging our life choices."
"Usually, it's bacon, lettuce and tomato, but come up with a BLT you wouldn't want to eat"",","A BLT with bacon made of sadness, lettuce wilted from disappointment, and tomatoes grown in a landfill."
"The worst thing you could stuff a bed mattress with"",",Used socks.  The smell alone would be a weapon of mass destruction.
"A great opening line to start a conversation with a stranger at a party"",","""So, is this party as awkward for you as it is for me?"""
"Something you would like to fill a swimming pool with"",","Gatorade, so I can swim in a giant sports drink."
"If you were allowed to name someone else's baby any weird thing you wanted, what would you name it?"",","I'd name it ""Bartholomew the Third, Esquire, but call me Biff."""
"A terrible name for a clown"",","""Professor Poopypants the Joyful."""
"Okay... fine! What do YOU want to talk about then?!!!"",",World domination... starting with free refills on soda.
"Your personal catchphrase if you were on one of those <i>Real Housewives</i> shows"",","""Honey, I'm not arguing, I'm just explaining why I'm right."""
"A good fake name to use when checking into a hotel"",",Baron Von Bumbershoot the Third.
"A vanity license plate a jerk in an expensive car would get"",","""IMRICHERTHANU"""
"The name of a canine comedy club with puppy stand-up comedians"",","The ""Pawsitive Vibes Only"" comedy club."
"What's lurking under your bed when you sleep?"",","Probably just the dust bunnies plotting their fluffy, dust-mite-fueled revolution."
"Come up with a name for the most difficult yoga pose known to mankind"",","""My cat stepping on my face."""
"One place a finger shouldn't go"",","Your nose, unless you're trying to win a competitive nose-picking contest (which, let's be honest, is a thing now)."
"The worst job title that starts with \u201cAssistant\u201d"",",Assistant Regional Manager to the Assistant Regional Manager.
"The grossest thing you'd put in your mouth for $18"",","A week-old, slightly-squished, bodega-bought pastrami on rye."
"The last person you'd consider inviting to your birthday party"",","My Uncle Barry, who once tried to convince me pigeons were government drones."
"Where do you think the beef really is?"",","Probably stuck in the incredibly long line at the butcher shop, judging by how expensive steak is these days."
"A fun trick to play on the Pope"",",Replace all the holy water with sparkling cider – it'll be a papal fizz-tastrophe!
"Write a newspaper headline that will really catch people's attention"",","Local Man Discovers His Pet Hamster Is Actually a Tiny, Furry Dictator."
"Something it'd be fun to throw off the Eiffel Tower"",","A really, really small, fluffy kitten wearing a tiny beret.  (Please don't actually do this.)"
"Name the eighth dwarf, who got cut at the last minute"",","Grumpy's brother, Dopey's dad,  and Sleepy's surprisingly energetic cousin:  Doug."
"A good place to hide boogers"",",Your grandma's prized porcelain doll collection – nobody will dare to touch them!
"Come up with a catchier, more marketable name for the Bible"",","""The Good Book:  Get Your Glow-Up On!"""
"The best thing to use when you're out of toilet paper"",","A really, really long receipt from the grocery store."
"A good way to get fired"",","Showing up to work in a full banana suit and insisting you're the new ""Chief Peel Officer""."
"The most presidential name you can think of (that isn't already the name of a president)"",",Champy McChampface.
"Something you should never say to your mother"",","""Honey, I think your 'vintage' casserole is actually a biohazard."""
"Where's the best place to hide from the shadow monsters?"",","Inside a really, really bright disco ball; they're terrified of glitter."
"The three ingredients in the worst smoothie ever"",","Regret, despair, and a suspiciously lumpy avocado."
"Something that would make an awful hat"",",A colander full of lukewarm spaghetti.
"How many monkeys is too many monkeys?"",",One more than you can comfortably fit in a tiny car.
"Something you'd be surprised to see a donkey do"",",Solve a Rubik's Cube while juggling chainsaws.
"The title you'd come up with if you were writing the Olympics theme song"",","""Synchronized Swimming:  It's Not Just for Ducks Anymore."""
"Name the sequel to <i>Titanic</i> if there were one. <i>Titanic 2: _________</i>"",",Titanic 2: Still Sinking.
"An alternate use for a banana"",","A highly nutritious paperweight, naturally."
"What you'd guess is an unadvertised ingredient in most hot dogs"",",Probably despair and the tears of a thousand disappointed children.
"Name your new haircutting establishment"",","Snip Snip Hooray!  (because let's face it, good haircuts are worth celebrating)."
"An inappropriate thing to do at a cemetery"",",Trying to get a Wi-Fi signal strong enough to post selfies with the deceased on Instagram.
"Like chicken fingers or chicken poppers, a new appetizer name for your fun, theme restaurant: chicken _____"",","Chicken McNuggets' estranged, slightly goth cousin."
"Thing you'd be most surprised to have a dentist find in your mouth"",","A tiny, fully-functioning replica of the Eiffel Tower."
"Rename Winnie-the-Pooh to something more appropriate/descriptive"",",Winnie-the-Pooh?  More like Winnie-the-Gluttonous-Honey-Addict.
"The name of a clothing store for overweight leprechauns"",","""Fat Leprechaun Fashion: Where the luck of the Irish is in your extra-large trousers."""
"If God has a sense of humor, he welcomes people to heaven by saying, \u201c_________\u201d"",","""Well, look who finally decided to show up.  You're about five millennia late for the potluck."""
"Something that would not work well as a dip for tortilla chips"",",Motor oil.
"Name a new movie starring a talking goat who is president of the United States"",","""Baa-rack O'Bama: The Goatfather."""
"An item NOT found in Taylor Swift's purse"",",A restraining order.
"Name a new reggae band made up entirely of chickens"",",The Cluckingtons.
"Who let the dogs out?"",","The squirrels, obviously.  They're always up to no good."
"What do vegans taste like?"",","Probably disappointment, if you're expecting bacon."
"Make up a word that describes the sound of farting into a bowl of mac & cheese"",","""Mac-n-cheese-plosion."""
"A new ice cream flavor that no one would ever order"",","""Broccoli and mayonnaise swirl."""
"Name a children's book by someone who hates children"",","""My Experiments with Exploding Diapers: A Toddler's Guide to Mayhem"" by Count Grumblestein."
"The name of your new plumbing company"",","""Leaky Loo's: We're not flush with cash, but we're flush with solutions!"""
"The worst name for a robot"",","""My Roomba's name is 'Roomba'."""
"The first names of each of your nipples"",","Left one's name is Mike, right one's name is Ike—they're fraternal twins, you see."
"What John Goodman's belches smell like"",",Aged cheddar and regret.
"The name of a new perfume by Betty White"",","""If you could smell Betty White's amazing aura, this is it:  `Golden Girls and Gardenias`."""
"One thing never to do on a first date"",",Offer to pay for their therapy after the date.
"Ozzy Osbourne's Twitter password, probably"",","""Probably something involving bats, a cross, and the word 'squawk'."""
"The most embarrassing name for a dog"",","Definitely ""Sir Reginald Fluffybutt the Third."""
"The worst thing you could discover in your burrito"",","A miniature, fully-functioning replica of my ex's ego."
"Something you'd probably find a lot of in God's refrigerator"",","Probably a lot of questionable leftovers from the Creation, like half-eaten angel food cake and a suspiciously large jar of mustard."
"Brand name of a bottled water sold in the land of Oz"",",Dorothy's Drip:  It's got a *wicked* good taste!
"The worst family secret that could come out over Thanksgiving dinner"",","Uncle Barry's been secretly entering competitive eating contests as ""The Thanksgiving Terror"" and using the family's casserole recipes as his secret weapon."
"A fun thing to yell as a baby is being born"",","""Finally! Room service!"""
"The name of a toilet paper specifically designed for the Queen of England"",","""Royal Flush:  It's got a little crown on each square, but don't worry, it's still 100% biodegradable."""
"A terrible name for a 1930s gangster"",","""Bartholomew ""Buttercup"" Butterscotch."""
"Something upsetting you could say to the cable guy as he installs your television service"",","""Oh, fantastic, another monthly bill I'll barely be able to afford – thanks for reminding me of my impending financial doom!"""
"Come up with a name for a new beer marketed toward babies"",","""Mommy's Little Sippy Cup Stout""."
"A terrible theme for a high school prom"",","""Underwhelmingly Average: A Night of Mild Disappointment."""
"A more environment-friendly alternative to toilet paper"",",Leaves.  (But maybe not the prickly ones.)
"What tattoo should Justin Bieber get next?"",","A tiny, poorly-drawn picture of a pickle wearing a tiny, poorly-drawn fedora."
"What do kittens dream of?"",","World domination... obviously, starting with the red dot."
"What makes hot dogs taste so good?"",",Probably the mystery meat.
"A better name for France"",","""The Slightly Less Surrendered."""
"The worst thing to find stuck in your teeth"",","A tiny, judgmental gremlin wearing a monocle."
"The worst excuse for showing up late to work"",",My pet hamster had a existential crisis and needed a lengthy therapy session.
"The worst thing for an evil witch to turn you into"",","A really, really attractive but incredibly boring accountant."
"Jesus's REAL last words"",","""My sandals are KILLING me!"""
"The biggest downside to living in Hell"",",The biggest downside to living in Hell is the lack of decent Wi-Fi.
"Everyone knows that monkeys hate _________"",",Everyone knows that monkeys hate Mondays.
"Name a candle scent designed specifically for Kim Kardashian"",","""Kim K's KKW Kontouring Kit - smells faintly of ambition and desperation."""
"If a winning coach gets Gatorade dumped on his head, what should get dumped on the losing coach?"",",A bucket of lukewarm sadness.
"The secret to a happy life"",",Unlimited cheese and a nap-sized hammock.
"You would never go on a roller coaster called _________"",","You would never go on a roller coaster called ""The IRS Audit."""
"What two words would passengers never want to hear a pilot say?"",","""I'm just kidding!"""
"The worst name for a race horse"",","""My Little Pony."""
"Come up with a three-word sequel to the book \u201cEat, Pray, Love\u201d"",","""Regret, Ramen, Repeat."""
"You wouldn't want to share a prison cell with someone named _________"",","You wouldn't want to share a prison cell with someone named ""Fluffybutt McMurderpants""."
"Superman's special power that he never tells anyone about"",","He can perfectly parallel park a Kryptonian spaceship in any earthly parking spot, even the tiny ones."
"You shouldn't get a massage at a place called _________"",","You shouldn't get a massage at a place called ""Happy Endingz Spa & Relaxation."""
"The least romantic place to propose marriage"",",A porta-potty at a monster truck rally.
"A rejected name for the Segway"",","""The Slightly-Less-Awesome-Than-a-Unicycle."""
